Time[s];Supply_P[bar];R1_P[bar];EPU_P[bar];T1_P[bar]
0.1103;10.0000;0.0000;0.0000;0.0000
0.1113;10.0000;0.0000;0.0000;0.0000
0.1123;10.0000;0.0000;0.0000;0.0000
0.1133;10.0000;0.0000;0.0000;0.0000
0.1143;10.0000;0.0000;0.0000;0.0000
0.1153;10.0000;0.0000;0.0000;0.0000
0.1163;10.0000;0.0000;0.0000;0.0000
0.1173;10.0000;0.0000;0.0000;0.0000
0.1183;10.0000;0.0000;0.0000;0.0000
0.1193;10.0000;0.0000;0.0000;0.0000
0.1203;10.0000;0.0000;0.0000;0.0000
0.1213;10.0000;0.0000;0.0000;0.0000
0.1223;10.0000;0.0000;0.0000;0.0000
0.1233;10.0000;0.0000;0.0000;0.0000
0.1243;10.0000;0.0000;0.0000;0.0000
0.1253;10.0000;0.0000;0.0000;0.0000
0.1263;10.0000;0.0000;0.0000;0.0000
0.1273;10.0000;0.0000;0.0000;0.0000
0.1283;10.0000;0.0000;0.0000;0.0000
0.1293;10.0000;0.0000;0.0000;0.0000
0.1303;10.0000;0.0000;0.0000;0.0000
0.1313;10.0000;0.0000;0.0000;0.0000
0.1323;10.0000;0.0000;0.0000;0.0000
0.1333;10.0000;0.0000;0.0000;0.0000
0.1343;10.0000;0.0000;0.0000;0.0000
0.1353;10.0000;0.0000;0.0000;0.0000
0.1363;10.0000;0.0000;0.0000;0.0000
0.1373;10.0000;0.0000;0.0000;0.0000
0.1383;10.0000;0.0000;0.0000;0.0000
0.1393;10.0000;0.0000;0.0000;0.0000
0.1403;10.0000;0.0000;0.0000;0.0000
0.1413;10.0000;0.0000;0.0000;0.0000
0.1423;10.0000;0.0000;0.0000;0.0000
0.1433;10.0000;0.0000;0.0000;0.0000
0.1443;10.0000;0.0000;0.0000;0.0000
0.1453;10.0000;0.0000;0.0000;0.0000
0.1463;10.0000;0.0000;0.0000;0.0000
0.1473;10.0000;0.0000;0.0000;0.0000
0.1483;10.0000;0.0000;0.0000;0.0000
0.1493;10.0000;0.0000;0.0000;0.0000
0.1503;10.0000;0.0000;0.0000;0.0000
0.1513;10.0000;0.0000;0.0000;0.0000
0.1523;10.0000;0.0000;0.0000;0.0000
0.1533;10.0000;0.0000;0.0000;0.0000
0.1543;10.0000;0.0000;0.0000;0.0000
0.1553;10.0000;0.0000;0.0000;0.0000
0.1563;10.0000;0.0000;0.0000;0.0000
0.1573;10.0000;0.0000;0.0000;0.0000
0.1583;10.0000;0.0000;0.0000;0.0000
0.1593;10.0000;0.0000;0.0000;0.0000
0.1603;10.0000;0.0000;0.0000;0.0000
0.1613;10.0000;0.0000;0.0000;0.0000
0.1623;10.0000;0.0000;0.0000;0.0000
0.1633;10.0000;0.0000;0.0000;0.0000
0.1643;10.0000;0.0000;0.0000;0.0000
0.1653;10.0000;0.0000;0.0000;0.0000
0.1663;10.0000;0.0000;0.0000;0.0000
0.1673;10.0000;0.0000;0.0000;0.0000
0.1683;10.0000;0.0000;0.0000;0.0000
0.1693;10.0000;0.0000;0.0000;0.0000
0.1703;10.0000;0.0000;0.0000;0.0000
0.1713;10.0000;0.0000;0.0000;0.0000
0.1723;10.0000;0.0000;0.0000;0.0000
0.1733;10.0000;0.0000;0.0000;0.0000
0.1743;10.0000;0.0000;0.0000;0.0000
0.1753;10.0000;0.0000;0.0000;0.0000
0.1763;10.0000;0.0000;0.0000;0.0000
0.1773;10.0000;0.0000;0.0000;0.0000
0.1783;10.0000;0.0000;0.0000;0.0000
0.1793;10.0000;0.0000;0.0000;0.0000
0.1803;10.0000;0.0000;0.0000;0.0000
0.1813;10.0000;0.0000;0.0000;0.0000
0.1823;10.0000;0.0000;0.0000;0.0000
0.1833;10.0000;0.0000;0.0000;0.0000
0.1843;10.0000;0.0000;0.0000;0.0000
0.1853;10.0000;0.0000;0.0000;0.0000
0.1863;10.0000;0.0000;0.0000;0.0000
0.1873;10.0000;0.0000;0.0000;0.0000
0.1883;10.0000;0.0000;0.0000;0.0000
0.1893;10.0000;0.0000;0.0000;0.0000
0.1903;10.0000;0.0000;0.0000;0.0000
0.1913;10.0000;0.0000;0.0000;0.0000
0.1923;10.0000;0.0000;0.0000;0.0000
0.1933;10.0000;0.0000;0.0000;0.0000
0.1943;10.0000;0.0000;0.0000;0.0000
0.1953;10.0000;0.0000;0.0000;0.0000
0.1963;10.0000;0.0000;0.0000;0.0000
0.1973;10.0000;0.0000;0.0000;0.0000
0.1983;10.0000;0.0000;0.0000;0.0000
0.1993;10.0000;0.0000;0.0000;0.0000
0.2003;10.0000;0.0000;0.0000;0.0000
0.2013;10.0000;0.0000;0.0000;0.0000
0.2023;10.0000;0.0000;0.0000;0.0000
0.2033;10.0000;0.0000;0.0000;0.0000
0.2043;10.0000;0.0000;0.0000;0.0000
0.2053;10.0000;0.0000;0.0000;0.0000
0.2063;10.0000;0.0000;0.0000;0.0000
0.2073;10.0000;0.0000;0.0000;0.0000
0.2083;10.0000;0.0000;0.0000;0.0000
0.2093;10.0000;0.0000;0.0000;0.0000
0.2103;10.0000;0.0000;0.0000;0.0000
0.2113;10.0000;0.0000;0.0000;0.0000
0.2123;10.0000;0.0000;0.0000;0.0000
0.2133;10.0000;0.0000;0.0000;0.0000
0.2143;10.0000;0.0000;0.0000;0.0000
0.2153;10.0000;0.0000;0.0000;0.0000
0.2163;10.0000;0.0000;0.0000;0.0000
0.2173;10.0000;0.0000;0.0000;0.0000
0.2183;10.0000;0.0000;0.0000;0.0000
0.2193;10.0000;0.0000;0.0000;0.0000
0.2203;10.0000;0.0000;0.0000;0.0000
0.2213;10.0000;0.0000;0.0000;0.0000
0.2223;10.0000;0.0000;0.0000;0.0000
0.2233;10.0000;0.0000;0.0000;0.0000
0.2243;10.0000;0.0000;0.0000;0.0000
0.2253;10.0000;0.0000;0.0000;0.0000
0.2263;10.0000;0.0000;0.0000;0.0000
0.2273;10.0000;0.0000;0.0000;0.0000
0.2283;10.0000;0.0000;0.0000;0.0000
0.2293;10.0000;0.0000;0.0000;0.0000
0.2303;10.0000;0.0000;0.0000;0.0000
0.2313;10.0000;0.0000;0.0000;0.0000
0.2323;10.0000;0.0000;0.0000;0.0000
0.2333;10.0000;0.0000;0.0000;0.0000
0.2343;10.0000;0.0000;0.0000;0.0000
0.2353;10.0000;0.0000;0.0000;0.0000
0.2363;10.0000;0.0000;0.0000;0.0000
0.2373;10.0000;0.0000;0.0000;0.0000
0.2383;10.0000;0.0000;0.0000;0.0000
0.2393;10.0000;0.0000;0.0000;0.0000
0.2403;10.0000;0.0000;0.0000;0.0000
0.2413;10.0000;0.0000;0.0000;0.0000
0.2423;10.0000;0.0000;0.0000;0.0000
0.2433;10.0000;0.0000;0.0000;0.0000
0.2443;10.0000;0.0000;0.0000;0.0000
0.2453;10.0000;0.0000;0.0000;0.0000
0.2463;10.0000;0.0000;0.0000;0.0000
0.2473;10.0000;0.0000;0.0000;0.0000
0.2483;10.0000;0.0000;0.0000;0.0000
0.2493;10.0000;0.0000;0.0000;0.0000
0.2505;10.0000;0.0000;0.0000;0.0000
0.2517;10.0000;0.0000;0.0000;0.0000
0.2530;10.0000;0.0000;0.0000;0.0000
0.2542;10.0000;0.0000;0.0000;0.0000
0.2555;10.0000;0.0000;0.0000;0.0000
0.2567;10.0000;0.0000;0.0000;0.0000
0.2580;10.0000;0.0000;0.0000;0.0000
0.2592;10.0000;0.0000;0.0000;0.0000
0.2605;10.0000;0.0000;0.0000;0.0000
